,gps_height,longitude,latitude,wpt_name,basin,region,district_code,population,public_meeting,scheme_management,permit,extraction_type,management,payment_type,water_quality,quantity,source,waterpoint_type,target,age
0,1390,34.93809275,-9.85632177,none,Lake Nyasa,Iringa,5,109,True,VWC,False,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,21
2,686,37.46066446,-3.82132853,Kwa Mahundi,Pangani,Manyara,4,250,True,VWC,True,gravity,vwc,per bucket,soft,enough,dam,communal standpipe multiple,0,11
3,263,38.48616088,-11.15529772,Zahanati Ya Nanyumbu,Ruvuma / Southern Coast,Mtwara,63,58,True,VWC,True,submersible,vwc,never pay,soft,dry,machine dbh,communal standpipe multiple,2,34
11,1062,35.77025785,-10.57417468,Kwa Alid Nchimbi,Lake Nyasa,Ruvuma,5,250,True,WUG,False,swn 80,wug,on failure,soft,insufficient,shallow well,hand pump,0,33
15,1645,31.44412134,-8.27496163,Kwa Juvenal Ching'Ombe,Lake Tanganyika,Rukwa,2,200,True,VWC,False,swn 80,vwc,never pay,soft,enough,machine dbh,hand pump,0,29
16,1703,34.64243884,-9.10618458,Kwa John Mtenzi,Rufiji,Iringa,4,35,True,WUA,True,gravity,wua,monthly,soft,dry,river,communal standpipe,2,42
17,1656,34.56926611,-9.08551497,Kwa Rose Chaula,Rufiji,Iringa,4,50,True,WUA,True,gravity,wua,on failure,soft,dry,river,communal standpipe,2,42
20,2216,34.47342985,-9.59498965,none,Lake Nyasa,Iringa,4,4,True,VWC,False,gravity,vwc,monthly,soft,enough,spring,communal standpipe,0,12
22,1510,34.58690108,-8.98001429,Shuleni,Rufiji,Iringa,4,350,True,WUA,True,gravity,wua,never pay,soft,enough,river,communal standpipe,1,42
23,672,37.94002949,-4.12559468,Kinonga,Pangani,Kilimanjaro,3,210,True,Water authority,True,gravity,vwc,monthly,soft,enough,river,communal standpipe,0,9
26,200,39.37077651,-9.94253166,Ruhoma Primary School,Ruvuma / Southern Coast,Lindi,23,260,False,VWC,False,india mark ii,vwc,monthly,soft,enough,machine dbh,hand pump,0,9
31,180,38.36355454,-6.63610419,Kituo Cha Maziwa,Wami / Ruvu,Pwani,1,150,False,WUA,True,ksb,private operator,per bucket,soft,enough,river,communal standpipe,0,16
33,1638,34.47835586,-9.71590954,none,Lake Nyasa,Iringa,5,70,True,VWC,False,gravity,vwc,on failure,soft,seasonal,spring,communal standpipe,0,28
38,1955,35.89026429,-8.22439872,none,Rufiji,Iringa,7,100,True,VWC,True,gravity,vwc,annually,soft,enough,river,communal standpipe,0,17
40,710,37.42002692,-3.47684942,Kwa Lusina,Pangani,Kilimanjaro,4,50,True,Water Board,True,submersible,water board,per bucket,soft,enough,machine dbh,communal standpipe,0,12
42,1803,34.81457364,-9.03250291,Zahanati-Misssion,Rufiji,Iringa,4,250,True,WUG,True,gravity,wug,monthly,soft,enough,spring,communal standpipe,0,9
44,1007,36.80607857,-3.47855934,Kwa Bariki,Pangani,Arusha,2,100,True,VWC,True,gravity,vwc,per bucket,soft,insufficient,spring,communal standpipe,1,20
46,240,39.08741514,-11.00060373,Mikoroshini,Ruvuma / Southern Coast,Mtwara,33,30,True,VWC,True,gravity,vwc,per bucket,soft,enough,spring,communal standpipe,1,16
48,1982,35.87141325,-8.22756303,none,Rufiji,Iringa,7,70,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,17
49,2169,34.44128349,-9.18987766,Kwa Bryson Msigwa,Rufiji,Iringa,4,20,True,VWC,True,gravity,vwc,annually,soft,enough,spring,communal standpipe,0,13
50,783,37.37285829,-3.34929238,Upendo,Pangani,Kilimanjaro,6,10,True,Water authority,True,gravity,water authority,per bucket,soft,insufficient,spring,communal standpipe,0,12
